Temperament|A|Bb|B|C|C#|D|Eb|E|F|F#|G|G# (Thesse values are the cents deviation from the Equal temperament scale)
Marpurg II|0|9.775|0|-5.865|3.91|-1.955|7.82|1.955|-7.82|1.955|-3.91|5.865
Marpurg III|0|-9.775|-13.685|-5.865|-9.775|-1.955|-5.865|1.955|-7.82|-11.73|-3.91|-7.82
Marpurg IV|0|-9.775|-11.73|-5.865|-7.82|-1.955|-11.73|1.955|-7.82|-9.775|-3.91|-5.865
Marpurg IX|0|1.955|3.91|-5.865|-3.91|-1.955|0|1.955|-1.955|0|-3.91|-1.955
Marpurg V|0|3.91|-5.865|-5.865|-1.955|-1.955|1.955|1.955|-7.82|-3.91|-3.91|0
Marpurg VI|0|1.955|3.91|-5.865|-3.91|-1.955|0|1.955|-7.82|-5.865|-3.91|-1.955
Marpurg VII|0|-1.955|-3.91|1.955|0|-1.955|-3.91|1.955|0|-1.955|-3.91|1.955
Marpurg VIII|0|1.955|-1.955|0|1.955|-1.955|0|1.955|-1.955|0|-3.91|-1.955
Marpurg X|0|1.955|0|1.955|0|1.955|0|1.955|0|1.955|0|1.955
Marpurg XI|0|-5.865|3.91|-5.865|0|-1.955|-3.91|1.955|-7.82|1.955|-3.91|-1.955
Marpurg XII|0|-9.775|0|-7.82|3.91|-1.955|-11.73|-1.955|-7.82|1.955|-3.91|5.865
Meantone|0|13.686|-5.864|8.798|-9.775|2.933|15.64|-2.932|11.731|-7.819|5.865|-10.752
Meantone (-1/4) (LargeThird)|0|17.108|-6.843|10.265|-13.686|3.422|20.53|-3.421|13.686|-10.265|6.843|-17.108
Meantone (Homogen. grad.)|0|8.145|-3.258|4.887|-6.516|1.629|9.775|-1.629|6.516|-4.889|3.258|-8.145
Meantone (Homogen. third)|0|20.95|-8.38|12.57|-16.76|4.19|25.14|-4.19|16.76|-12.57|8.38|-20.95
Meantone (Homogen.)|0|11.73|-4.692|7.038|-9.384|2.346|14.076|-2.346|9.384|-7.038|4.692|-11.73
Meantone (Small third)|0|26.07|-10.428|15.642|-20.856|5.214|31.284|-5.214|20.856|-15.642|10.428|-26.07
Meantone # (-1/4)|0|-23.951|-6.843|10.265|-13.686|3.422|-20.529|-3.421|13.686|-10.265|6.843|-17.108
Meantone b (-1/4)|0|17.108|-6.843|10.265|27.373|3.422|20.53|-3.421|13.686|30.794|6.843|23.951
Meister|0|0.978|-6.842|4.888|16.618|3.422|20.528|-3.421|2.933|14.663|6.843|18.573
